É um dia bonito.    Eixh daita krasiyvo.
Das cinzas, pois, foi nascido o humano  Vroet doista, forva, vatexh bruanivet manvek
Poema do principío  Prinkipaxhpoemet
Poema   Poemet
Princípio   Prinkipaxh
Eu fui ao parque    Ig puenxhet ov park
O ser humano é incrível Da manvek eixh inveratvy
Ele disse que faria isso    Rivmy parosket ev doatezh ikev
Atirei nele, sim    Xhotet ov rivmy, iaxh
Vai chover amanhã   Eixhetav rany tovarov
Alice no País das Maravilhas    Alice ov Naskan av Vantezhap
Lewis Carroll   Lewis Carroll
Capítulo I Descendo a Toca do Coelho    Xhapit I Dova ov Huta av Rovit
Alice estava começando a ficar muito cansada de sentar-se ao lado de sua irmã no banco e de não ter nada para fazer: uma ou duas vezes havia espiado o livro que a irmã estava lendo, mas não havia imagens nem diálogos nele.  Alice eixhet vegheva ov veire toirev av xhit ov xhade ov yurv xhista ov xhitprank ant noy hat notanv vo doy: ona ot doa tomap xhetet ixhpatet vat yurv xhista eixhet rida, brat noy eixhet frigavap nivoy tokep ov ovit.
